targetid,m2_min,best_period,best_K,delta_rv,n_epochs,total_score,mass_function,S_robust,experiments,is_pathological
39627655045188626,1.972,8.5,101.8,46.8,6,0.7455,0.9296,32.43,E5_hierarchical|E6_accretion|E7_halo_cluster,False
39627709483062398,1.505,4.218,110.5,46.1,6,0.7087,0.5896,25.41,E5_hierarchical,False
2803700330397696,1.425,7.299,84.3,58.2,6,0.7363,0.4537,33.89,E5_hierarchical|E6_accretion|E7_halo_cluster,False
39627848226439268,1.377,43.376,41.2,94.1,8,0.7071,0.3154,12.13,E5_hierarchical,False
39627770384352786,1.335,1.881,159.4,232.2,5,0.7161,0.7902,8.36,E5_hierarchical,False
39627655229736275,1.214,0.865,175.9,137.9,6,0.7045,0.4881,5.03,E5_hierarchical,False
39627776315099630,1.073,4.154,84.7,152.5,7,0.7212,0.2618,8.36,E5_hierarchical,False
39627865968346324,1.028,101.79,28.3,40.8,7,0.6854,0.2401,23.49,E5_hierarchical,False
39627793041985967,0.976,17.658,49.1,42.8,7,0.7554,0.2159,64.44,E5_hierarchical|E6_accretion|E7_halo_cluster,False
2802871422681088,0.907,14.708,49.6,52.8,5,0.6875,0.1854,40.5,E5_hierarchical,False
39627751707116493,0.86,13.839,52.3,82.9,5,0.7311,0.2055,99.85,E5_hierarchical|E6_accretion|E7_halo_cluster,False
39627842698352101,0.857,0.6,161.0,265.2,5,0.7096,0.2597,12.71,E5_hierarchical,False
39627824469902106,0.84,17.658,44.2,72.5,6,0.7416,0.1575,40.58,E5_hierarchical|E6_accretion|E7_halo_cluster,False
39627636363756051,0.581,208.269,14.8,31.3,10,0.7282,0.0694,29.53,E5_hierarchical,False
39633015642524380,0.573,12.066,41.1,54.0,5,0.701,0.0868,71.66,E5_hierarchical,False
39627877750150352,0.55,205.121,14.2,23.3,7,0.6904,0.0611,36.52,E5_hierarchical,False
39627914769073900,0.391,1.797,57.7,108.8,9,0.7153,0.0358,24.25,E5_hierarchical,False
39627854614366474,0.384,2.03,49.7,71.0,5,0.7052,0.0258,78.77,E5_hierarchical,False
39627787375477588,0.372,3.11,42.0,84.6,7,0.6839,0.0238,21.28,E5_hierarchical,False
39627690751300586,0.251,2.294,33.2,66.6,9,0.7505,0.0087,80.57,E5_hierarchical,False
39627720727987709,0.219,0.628,45.2,93.4,8,0.7638,0.006,116.77,E5_hierarchical,False
