rank,targetid,gaia_source_id,n_epochs,mjd_span,S,S_robust,d_max,delta_rv_kms,notes
1,39628001431785529,2759088365339967488,4,10.9656,91.1213,91.1213,101.2237,822.8560,N=4; S_robust=91.1; d_max=101.2; LOO-stable
2,39627714713356667,3826086648304166400,4,3.9928,55.3627,55.3627,55.3221,58.8975,N=4; S_robust=55.4; d_max=55.3; LOO-stable
3,39627720727987709,3827093418703158272,7,102.7287,43.7508,43.7508,110.0710,93.3597,N=7; S_robust=43.8; d_max=110.1; LOO-stable
4,39627782317149427,3652971286995183488,5,28.9452,83.2922,42.7252,196.3071,849.5851,N=5; S_robust=42.7; d_max=196.3; LOO-moderate
5,39627977599746474,2751843515722446208,4,45.8728,38.1853,37.7778,61.1224,487.4538,N=4; S_robust=37.8; d_max=61.1; LOO-stable
6,39627690751300586,3780868403682988032,8,109.6966,31.0776,30.5464,83.6792,66.5838,N=8; S_robust=30.5; d_max=83.7; LOO-stable
7,2804171296210944,1007698352408588032,5,43.8927,30.3116,30.3116,38.2848,69.4838,N=5; S_robust=30.3; d_max=38.3; LOO-stable
8,39627634937694383,3244963210786057984,4,78.7708,40.0375,30.2099,105.9607,114.3295,N=4; S_robust=30.2; d_max=106.0; LOO-moderate
9,39627751707116493,3683541768991487104,4,46.8721,84.4855,29.1252,127.2703,80.5036,N=4; S_robust=29.1; d_max=127.3; LOO-drops
10,39627739325532232,3793418572999633280,3,11.9725,49.6017,29.0673,42.1526,663.1510,N=3; S_robust=29.1; d_max=42.2; LOO-moderate
11,39627793041985967,3843110008879900032,6,87.7770,39.2889,28.7552,77.7042,42.7996,N=6; S_robust=28.8; d_max=77.7; LOO-moderate
12,39627697348937273,3682001524999937792,3,38.8973,52.0276,26.4488,56.3000,50.5634,N=3; S_robust=26.4; d_max=56.3; LOO-moderate
13,39627908427285828,3896577640136035584,3,13.9551,41.5584,26.3794,36.6063,48.4052,N=3; S_robust=26.4; d_max=36.6; LOO-moderate
14,39627836100709060,3891820401215472896,4,33.9084,29.1361,23.5873,45.2250,41.5667,N=4; S_robust=23.6; d_max=45.2; LOO-stable
15,39628051222364390,602361299180812800,3,139.6182,41.3207,19.6233,38.0924,32.3500,N=3; S_robust=19.6; d_max=38.1; LOO-drops
16,39628017550494456,4445986940359301376,4,366.0244,43.4637,18.8336,63.0448,114.9747,N=4; S_robust=18.8; d_max=63.0; LOO-drops
17,39627836088124572,3891796860498960768,3,23.9282,34.6589,17.1877,33.8004,63.9698,N=3; S_robust=17.2; d_max=33.8; LOO-drops
18,39627624326103210,3823628002865715328,5,79.7838,31.9960,16.6506,45.3236,70.9055,N=5; S_robust=16.7; d_max=45.3; LOO-moderate
19,39627784951174993,2536827282401261568,3,9.9846,46.8189,16.2997,66.0772,57.7055,N=3; S_robust=16.3; d_max=66.1; LOO-drops
20,39627817100513868,3078449763965033472,3,9.0016,30.2829,16.0527,26.1032,381.7968,N=3; S_robust=16.1; d_max=26.1; LOO-moderate
21,39627981798249854,4442920432493231872,5,11.9764,32.1995,14.9620,43.7759,110.9868,N=5; S_robust=15.0; d_max=43.8; LOO-drops
22,39627788696688328,4410518344516247424,3,16.9500,32.1495,13.2199,31.2192,51.9025,N=3; S_robust=13.2; d_max=31.2; LOO-drops
23,39627892669286666,1732847539605117824,3,3.9846,29.3629,12.6016,30.9410,111.8168,N=3; S_robust=12.6; d_max=30.9; LOO-drops
24,39633044897796112,1331360254542953088,3,19.9693,61.4522,12.1535,102.4527,51.2661,N=3; S_robust=12.2; d_max=102.5; LOO-drops
