rank,targetid,gaia_source_id,tier,n_epochs,mjd_span,S,S_min_LOO,S_med_LOO,S_robust,d_max,delta_rv_kms,rv_err_median_kms
1,39628001431785529,2759088365339967488,A,4,10.9656,91.1213,101.2234,102.5639,91.1213,101.2237,822.8560,4.2851
2,39627714713356667,3826086648304166400,A,4,3.9928,55.3627,56.2815,59.2391,55.3627,55.3221,58.8975,0.4960
3,39627720727987709,3827093418703158272,A,7,102.7287,43.7508,45.5238,46.5583,43.7508,110.0710,93.3597,0.7499
4,39627782317149427,3652971286995183488,A,5,28.9452,83.2922,42.7252,93.9761,42.7252,196.3071,849.5851,4.7235
5,39627977599746474,2751843515722446208,A,4,45.8728,38.1853,37.7778,42.3396,37.7778,61.1224,487.4538,5.4631
6,39627690751300586,3780868403682988032,A,8,109.6966,31.0776,30.5464,32.7552,30.5464,83.6792,66.5838,0.7141
7,2804171296210944,1007698352408588032,A,5,43.8927,30.3116,30.5148,33.6769,30.3116,38.2848,69.4838,1.1724
8,39627634937694383,3244963210786057984,A,4,78.7708,40.0375,30.2099,43.8591,30.2099,105.9607,114.3295,1.1627
9,39627751707116493,3683541768991487104,A,4,46.8721,84.4855,29.1252,92.1258,29.1252,127.2703,80.5036,0.4818
10,39627739325532232,3793418572999633280,A,3,11.9725,49.6017,29.0673,35.8378,29.0673,42.1526,663.1510,8.4925
11,39627793041985967,3843110008879900032,A,6,87.7770,39.2889,28.7552,42.1607,28.7552,77.7042,42.7996,0.4235
12,39627697348937273,3682001524999937792,A,3,38.8973,52.0276,26.4488,37.0159,26.4488,56.3000,50.5634,0.5836
13,39627908427285828,3896577640136035584,A,3,13.9551,41.5584,26.3794,26.6689,26.3794,36.6063,48.4052,0.6051
14,39627836100709060,3891820401215472896,A,4,33.9084,29.1361,23.5873,32.5539,23.5873,45.2250,41.5667,0.7261
15,39628051222364390,602361299180812800,A,3,139.6182,41.3207,19.6233,31.7300,19.6233,38.0924,32.3500,0.3828
16,39628017550494456,4445986940359301376,A,4,366.0244,43.4637,18.8336,41.8088,18.8336,63.0448,114.9747,1.3396
17,39627836088124572,3891796860498960768,A,3,23.9282,34.6589,17.1877,25.9019,17.1877,33.8004,63.9698,1.0478
18,39627624326103210,3823628002865715328,A,5,79.7838,31.9960,16.6506,33.6627,16.6506,45.3236,70.9055,0.8823
19,39627784951174993,2536827282401261568,A,3,9.9846,46.8189,16.2997,38.6814,16.2997,66.0772,57.7055,0.6610
20,39627817100513868,3078449763965033472,A,3,9.0016,30.2829,16.0527,22.2919,16.0527,26.1032,381.7968,5.8497
21,39627981798249854,4442920432493231872,A,5,11.9764,32.1995,14.9620,34.7523,14.9620,43.7759,110.9868,1.4566
22,39627788696688328,4410518344516247424,A,3,16.9500,32.1495,13.2199,25.3232,13.2199,31.2192,51.9025,0.8724
23,39627892669286666,1732847539605117824,A,3,3.9846,29.3629,12.6016,23.1950,12.6016,30.9410,111.8168,2.1317
24,39633044897796112,1331360254542953088,A,3,19.9693,61.4522,12.1535,64.9443,12.1535,102.4527,51.2661,0.5057
25,39627893713670894,2563888630087172096,A,4,83.7672,34.9119,11.9281,35.7739,11.9281,73.4232,55.2025,0.7992
26,39632981127598108,1473318613122088448,A,3,30.9022,40.9116,11.8799,39.5197,11.8799,54.3827,39.5232,0.5539
27,39627956523372036,3899316042564360576,A,3,89.7440,80.1021,11.2054,82.8159,11.2054,112.3410,62.1535,0.4524
28,39627889817157850,3848284482398765824,A,3,137.6135,30.3752,10.5611,28.1783,10.5611,44.3901,38.9152,0.7406
29,2802896177463296,3683402852569418880,A,4,28.9406,36.9125,9.6343,38.7473,9.6343,74.4246,22.0708,0.2826
30,39627848889144343,1154247549990006016,A,3,8.9673,46.2939,9.4864,50.8700,9.4864,75.0272,106.7084,1.2698
31,39628031811128021,2570323560543900032,A,3,58.8321,27.7733,9.4202,25.2429,9.4202,38.3314,37.3365,0.7892
32,39627739350700277,3793093048838641152,A,5,96.7334,36.0995,8.9657,38.2893,8.9657,53.2783,72.4349,0.9207
33,39627793415275141,3855094062852157184,A,5,38.9178,33.7413,7.9126,37.0145,7.9126,65.1384,70.1972,0.9237
34,39627966107355784,2521528162216060288,A,4,56.8498,32.4276,7.1867,37.4562,7.1867,61.2705,44.0683,0.6801
35,39627474241328159,3177675981087624448,A,3,57.8162,38.0879,6.7449,42.8836,6.7449,60.9640,499.4239,6.9628
36,39627760414495018,2643929228298954752,A,3,8.9948,70.5228,6.6766,77.8875,6.6766,114.8991,53.6298,0.4303
37,39627751858113416,3638329060583219840,A,3,49.8703,35.9275,6.5164,37.3605,6.5164,44.0081,36.2554,0.5487
38,39627793604022791,3798066552248049280,A,4,108.6984,28.9432,6.0636,32.8279,6.0636,50.7366,30.2402,0.5228
39,39627966195435210,19394560480631168,A,4,19.9417,29.5718,5.9859,33.2166,5.9859,65.7906,36.5065,0.6472
40,39628268541841017,4561512180414318592,A,4,22.9749,60.5704,5.7219,68.6260,5.7219,127.7637,74.2356,0.6030
41,39627945773371215,4441010859968104448,A,3,5.9807,31.4255,3.9837,32.6911,3.9837,74.8609,358.6415,6.0468
42,39627935539269523,2745376772444159488,A,3,43.9039,44.3927,3.7530,53.4477,3.7530,91.6540,49.5736,0.6965
43,39628507755581634,1312218513018025472,A,4,345.0644,31.1992,3.6149,35.4387,3.6149,72.9388,76.4188,1.1693
44,39627743641471118,3226218285583124992,A,3,9.9566,37.1393,3.5426,38.2395,3.5426,46.5081,493.0910,6.8748
45,39632931349594441,1321794159784070400,A,3,20.9645,31.8522,3.4320,36.8368,3.4320,50.6735,66.7510,1.2010
46,39627764436829147,4415644847542250368,A,4,298.2322,61.6774,3.0468,70.7901,3.0468,173.5592,693.8648,5.5213
47,39636616326677411,1729951121034767488,A,3,118.6983,38.3370,2.7894,40.8385,2.7894,60.8621,44.9604,0.6954
48,39628021426030246,600494324140547200,A,3,85.7641,28.2559,2.5268,32.3799,2.5268,47.0957,54.5753,1.1329
49,39627733243791069,3790534523935968512,A,3,103.7115,30.4274,2.3384,36.7294,2.3384,56.8408,27.8443,0.5400
50,39628439510061121,,A,3,359.0398,67.8747,2.2960,76.3271,2.2960,112.7896,716.9532,6.1822
